,hannanum,kkma,komoran,okt
46,"('아', 'EC')","('도', 'JX')","('았', 'EP')","('를', 'Josa')"
47,"('오', 'PX')","('나오', 'VV')","('듯이', 'EC')","('위', 'Noun')"
48,"('아', 'EP')","('았', 'EPT')","('다목적', 'NNG')","('한', 'Josa')"
49,"('듯이', 'EC')","('듯이', 'ECD')","('실은', 'MAG')","('공간', 'Noun')"
50,"('다목적실', 'NC')","('다목적', 'NNG')","('학생', 'NNG')","('이니까', 'Josa')"
51,"('은', 'JX')","('실', 'NNG')","('모두', 'NNG')","('휴게', 'Noun')"
52,"('학생', 'NC')","('은', 'JX')","('의', 'JKG')","('공간', 'Noun')"
53,"('모두', 'NC')","('학생', 'NNG')","('복지', 'NNG')","('을', 'Josa')"
54,"('의', 'JC')","('모두', 'NNG')","('를', 'JKO')","('필요', 'Noun')"
55,"('복지', 'NC')","('의', 'JKG')","('위하', 'VV')","('로', 'Josa')"
56,"('를', 'JC')","('복지', 'NNG')","('ㄴ', 'ETM')","('하는', 'Verb')"
57,"('위하', 'PV')","('를', 'JKO')","('공간', 'NNG')","('학생', 'Noun')"
58,"('ㄴ', 'ET')","('위하', 'VV')","('이', 'VCP')","('들', 'Suffix')"
59,"('공간', 'NC')","('ㄴ', 'ETD')","('니까', 'EC')","('의', 'Josa')"
60,"('이', 'JP')","('공간', 'NNG')","('휴게', 'NNG')","('입장', 'Noun')"
61,"('니까', 'EC')","('이', 'VCP')","('공간', 'NNG')","('도', 'Josa')"
62,"('휴', 'NC')","('니까', 'ECD')","('을', 'JKO')","('고려', 'Noun')"
63,"('이', 'JP')","('휴게', 'NNG')","('필요', 'NNG')","('해야', 'Verb')"
64,"('게', 'EC')","('공간', 'NNG')","('로', 'JKB')","('했어', 'Verb')"
65,"('공간', 'NC')","('을', 'JKO')","('하', 'VV')","('.', 'Punctuation')"
66,"('을', 'JC')","('필요', 'NNG')","('는', 'ETM')","('\n', 'Foreign')"
67,"('필요', 'NC')","('로', 'JKM')","('학생', 'NNG')",-
68,"('로', 'JC')","('하', 'VV')","('들', 'XSN')",-
69,"('하', 'PV')","('는', 'ETD')","('의', 'JKG')",-
70,"('는', 'ET')","('학생', 'NNG')","('입장', 'NNG')",-
71,"('학생들', 'NC')","('들', 'XSN')","('도', 'JX')",-
72,"('의', 'JC')","('의', 'JKG')","('고려', 'NNG')",-
73,"('입장', 'NC')","('입장', 'NNG')","('하', 'XSV')",-
74,"('도', 'JX')","('도', 'JX')","('아야', 'EC')",-
75,"('고', 'PV')","('고려', 'NNP')","('하', 'VV')",-
76,"('려', 'EC')","('하', 'XSV')","('았', 'EP')",-
77,"('하', 'PX')","('어야', 'ECD')","('어', 'EF')",-
78,"('어야', 'EC')","('하', 'VV')","('.', 'SF')",-
79,"('하', 'PX')","('었', 'EPT')",-,-
80,"('었', 'EP')","('어', 'EFN')",-,-
81,"('어', 'EF')","('.', 'SF')",-,-
82,"('.', 'SF')",-,-,-
0,"('그렇', 'PA')","('그럼', 'MAG')","('그럼', 'MAJ')","('그럼', 'Adjective')"
1,"('ㅁ', 'ET')","('이제', 'NNG')","('이제', 'MAG')","('이제', 'Noun')"
2,"('이제', 'MA')","('양측', 'NNG')","('양측', 'NNG')","('양', 'Noun')"
3,"('양측', 'NC')","('의', 'JKG')","('의', 'JKG')","('측', 'Suffix')"
4,"('의', 'JC')","('입장', 'NNG')","('입장', 'NNG')","('의', 'Josa')"
5,"('입장', 'NC')","('을', 'JKO')","('을', 'JKO')","('입장', 'Noun')"
6,"('을', 'JC')","('절충', 'NNG')","('절충', 'NNG')","('을', 'Josa')"
7,"('절충', 'NC')","('하', 'XSV')","('하', 'XSV')","('절충', 'Noun')"
8,"('하', 'XS')","('어', 'ECS')","('아', 'EC')","('해', 'Verb')"
9,"('어', 'EC')","('좋', 'VA')","('좋', 'VA')","('좋은', 'Adjective')"
10,"('좋', 'PA')","('은', 'ETD')","('은', 'ETM')","('방안', 'Noun')"
11,"('은', 'ET')","('방안', 'NNG')","('방안', 'NNG')","('을', 'Josa')"
12,"('방안', 'NC')","('을', 'JKO')","('을', 'JKO')","('마련', 'Noun')"
13,"('을', 'JC')","('마련', 'NNG')","('마련', 'NNG')","('할', 'Verb')"
14,"('마련', 'NC')","('하', 'XSV')","('하', 'XSV')","('수', 'Noun')"
15,"('하', 'XS')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('있도록', 'Adjective')"
16,"('ㄹ', 'ET')","('수', 'NNB')","('수', 'NNB')","('협의', 'Noun')"
17,"('수', 'NB')","('있', 'VV')","('있', 'VV')","('해', 'Verb')"
18,"('있', 'PX')","('도록', 'ECD')","('도록', 'EC')","('보자', 'Verb')"
19,"('도록', 'EC')","('협의', 'NNG')","('협의', 'NNG')","('.', 'Punctuation')"
20,"('협의', 'NC')","('하', 'XSV')","('하', 'XSV')","('글', 'Noun')"
21,"('하', 'XS')","('어', 'ECS')","('아', 'EC')","('에', 'Josa')"
22,"('어', 'EC')","('보', 'VV')","('보', 'VX')","('제시', 'Noun')"
23,"('보', 'PX')","('자', 'ECE')","('자', 'EF')","('된', 'Verb')"
24,"('자', 'EC')","('.', 'SF')","('.', 'SF')","('필자', 'Noun')"
25,"('.', 'SF')","('글', 'NNG')","('글', 'NNG')","('의', 'Josa')"
26,"('글', 'NC')","('에', 'JKM')","('에', 'JKB')","('의견', 'Noun')"
27,"('에', 'JC')","('제시', 'NNG')","('제시', 'NNG')","('처럼', 'Josa')"
28,"('제시', 'NC')","('되', 'XSV')","('되', 'XSV')","('다', 'Adverb')"
29,"('되', 'XS')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('목적', 'Noun')"
